,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,nulos_y_blancos
4,00000009,PODEMOS PERU,,100.000,2,2,0,00000009.jpg,0.000,0.000,12/10/2022,13:00 h, 100.0000,140631,42
8,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,2,2,0,00000002.jpg,0.000,0.000,12/10/2022,13:00 h, 100.0000,140631,42
5,00000003,RENOVACION POPULAR,,100.000,2,2,1,00000003.jpg,0.418,0.356,12/10/2022,13:00 h, 100.0000,140631,42
7,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,2,2,1,00000007.jpg,0.418,0.356,12/10/2022,13:00 h, 100.0000,140631,42
3,00000001,ACCION POPULAR,,100.000,2,2,3,00000001.jpg,1.255,1.068,12/10/2022,13:00 h, 100.0000,140631,42
6,00000004,ALIANZA PARA EL PROGRESO,,100.000,2,2,16,00000004.jpg,6.695,5.694,12/10/2022,13:00 h, 100.0000,140631,42
0,00000072,PATRIA JOVEN,,100.000,2,2,39,00000072.jpg,16.318,13.879,12/10/2022,13:00 h, 100.0000,140631,42
1,00000074,MOVIMIENTO REGIONAL UNIDAD CIVICA LIMA,,100.000,2,2,59,00000074.jpg,24.686,20.996,12/10/2022,13:00 h, 100.0000,140631,42
2,00000073,CONCERTACION PARA EL DESARROLLO REGIONAL - LIMA,,100.000,2,2,120,00000073.jpg,50.209,42.705,12/10/2022,13:00 h, 100.0000,140631,42
