,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,nulos_y_blancos
4,00000004,ALIANZA PARA EL PROGRESO,,100.000,10,10,156,00000004.jpg,10.263,8.735,12/10/2022,16:00 h, 100.0000,010420,266
2,00000005,JUNTOS POR EL PERU,,100.000,10,10,307,00000005.jpg,20.197,17.189,12/10/2022,16:00 h, 100.0000,010420,266
0,00000016,SENTIMIENTO AMAZONENSE REGIONAL,,100.000,10,10,309,00000016.jpg,20.329,17.301,12/10/2022,16:00 h, 100.0000,010420,266
3,00000003,RENOVACION POPULAR,,100.000,10,10,331,00000003.jpg,21.776,18.533,12/10/2022,16:00 h, 100.0000,010420,266
1,00000017,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,,100.000,10,10,417,00000017.jpg,27.434,23.348,12/10/2022,16:00 h, 100.0000,010420,266
