,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo
0,00000020,MOVIMIENTO REGIONAL EL MAICITO,,100.000,2,2,13,00000020.jpg,11.111,4.594,06/10/2022,17:50 h, 100.0000,020602
1,00000019,SOCIOS POR ANCASH,,100.000,2,2,13,00000019.jpg,11.111,4.594,06/10/2022,17:50 h, 100.0000,020602
2,00000021,ALIANZA GOBIERNO UNIDAD Y ACCION - AGUA,,100.000,2,2,46,00000021.jpg,39.316,16.254,06/10/2022,17:50 h, 100.0000,020602
3,00000005,JUNTOS POR EL PERU,,100.000,2,2,45,00000005.jpg,38.462,15.901,06/10/2022,17:50 h, 100.0000,020602
