,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo
0,00000020,MOVIMIENTO REGIONAL EL MAICITO,,100.000,5,5,113,00000020.jpg,13.094,11.024,06/10/2022,17:50 h, 100.0000,021406
1,00000018,MOVIMIENTO ACCION NACIONALISTA PERUANO,,100.000,5,5,259,00000018.jpg,30.012,25.268,06/10/2022,17:50 h, 100.0000,021406
2,00000021,ALIANZA GOBIERNO UNIDAD Y ACCION - AGUA,,100.000,5,5,169,00000021.jpg,19.583,16.488,06/10/2022,17:50 h, 100.0000,021406
3,00000005,JUNTOS POR EL PERU,,100.000,5,5,175,00000005.jpg,20.278,17.073,06/10/2022,17:50 h, 100.0000,021406
4,00000004,ALIANZA PARA EL PROGRESO,,100.000,5,5,147,00000004.jpg,17.034,14.341,06/10/2022,17:50 h, 100.0000,021406
