,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,nulos_y_blancos
2,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,3,3,17,00000008.jpg,3.307,3.063,12/10/2022,16:00 h, 100.0000,010104,41
0,00000016,SENTIMIENTO AMAZONENSE REGIONAL,,100.000,3,3,203,00000016.jpg,39.494,36.577,12/10/2022,16:00 h, 100.0000,010104,41
1,00000017,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,,100.000,3,3,294,00000017.jpg,57.198,52.973,12/10/2022,16:00 h, 100.0000,010104,41
