,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo
0,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,22,22,304,00000011.jpg,6.290,5.832,10/10/2022,17:31 h, 100.0000,140123
1,00000005,JUNTOS POR EL PERU,,100.000,22,22,179,00000005.jpg,3.704,3.434,10/10/2022,17:31 h, 100.0000,140123
2,00000009,PODEMOS PERU,,100.000,22,22,"1,149",00000009.jpg,23.774,22.041,10/10/2022,17:31 h, 100.0000,140123
3,00000003,RENOVACION POPULAR,,100.000,22,22,903,00000003.jpg,18.684,17.322,10/10/2022,17:31 h, 100.0000,140123
4,00000004,ALIANZA PARA EL PROGRESO,,100.000,22,22,187,00000004.jpg,3.869,3.587,10/10/2022,17:31 h, 100.0000,140123
5,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,22,22,"1,022",00000007.jpg,21.146,19.605,10/10/2022,17:31 h, 100.0000,140123
6,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,22,22,35,00000008.jpg,0.724,0.671,10/10/2022,17:31 h, 100.0000,140123
7,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,22,22,"1,054",00000002.jpg,21.808,20.219,10/10/2022,17:31 h, 100.0000,140123
