,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,nulos_y_blancos
0,00000052,MOVIMIENTO INDEPENDIENTE TRABAJANDO PARA TODOS,,100.000,22,22,24,00000052.jpg,0.622,0.570,12/10/2022,12:30 h, 100.0000,080302,351
3,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,22,22,929,00000008.jpg,24.092,22.082,12/10/2022,12:30 h, 100.0000,080302,351
1,00000050,MOVIMIENTO REGIONAL AGUA,,100.000,22,22,1416,00000050.jpg,36.722,33.658,12/10/2022,12:30 h, 100.0000,080302,351
2,00000051,MOVIMIENTO REGIONAL AYNI,,100.000,22,22,1487,00000051.jpg,38.563,35.346,12/10/2022,12:30 h, 100.0000,080302,351
