,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,nulos_y_blancos
3,00000006,FUERZA POPULAR,,100.000,34,34,156,00000006.jpg,2.549,2.109,12/10/2022,16:00 h, 100.0000,090605,1279
0,00000053,MOVIMIENTO POLITICO CAMBIEMOS X HCO,,100.000,34,34,498,00000053.jpg,8.139,6.732,12/10/2022,16:00 h, 100.0000,090605,1279
5,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,34,34,612,00000002.jpg,10.002,8.273,12/10/2022,16:00 h, 100.0000,090605,1279
2,00000057,MOVIMIENTO INDEPENDIENTE REGIONAL HUANUCO PRIMERO,,100.000,34,34,1184,00000057.jpg,19.350,16.004,12/10/2022,16:00 h, 100.0000,090605,1279
1,00000054,MOVIMIENTO INDEPENDIENTE REGIONAL MI BUEN VECINO,,100.000,34,34,1482,00000054.jpg,24.220,20.032,12/10/2022,16:00 h, 100.0000,090605,1279
4,00000004,ALIANZA PARA EL PROGRESO,,100.000,34,34,2187,00000004.jpg,35.741,29.562,12/10/2022,16:00 h, 100.0000,090605,1279
