,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,nulos_y_blancos
2,00000005,JUNTOS POR EL PERU,,100.000,14,14,1,00000005.jpg,0.040,0.036,12/10/2022,16:00 h, 100.0000,061002,303
3,00000004,ALIANZA PARA EL PROGRESO,,100.000,14,14,39,00000004.jpg,1.556,1.388,12/10/2022,16:00 h, 100.0000,061002,303
4,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,14,14,91,00000007.jpg,3.630,3.238,12/10/2022,16:00 h, 100.0000,061002,303
1,00000011,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.000,14,14,675,00000011.jpg,26.925,24.021,12/10/2022,16:00 h, 100.0000,061002,303
0,00000039,FRENTE REGIONAL DE CAJAMARCA,,100.000,14,14,782,00000039.jpg,31.193,27.829,12/10/2022,16:00 h, 100.0000,061002,303
5,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,14,14,919,00000002.jpg,36.657,32.705,12/10/2022,16:00 h, 100.0000,061002,303
