,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,nulos_y_blancos
2,00000006,FUERZA POPULAR,,100.000,19,19,30,00000006.jpg,0.689,0.622,12/10/2022,13:00 h, 100.0000,100113,469
3,00000001,ACCION POPULAR,,100.000,19,19,45,00000001.jpg,1.034,0.933,12/10/2022,13:00 h, 100.0000,100113,469
5,00000003,RENOVACION POPULAR,,100.000,19,19,206,00000003.jpg,4.732,4.272,12/10/2022,13:00 h, 100.0000,100113,469
7,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,19,19,501,00000002.jpg,11.509,10.390,12/10/2022,13:00 h, 100.0000,100113,469
4,00000009,PODEMOS PERU,,100.000,19,19,619,00000009.jpg,14.220,12.837,12/10/2022,13:00 h, 100.0000,100113,469
0,00000059,UNO POR ICA,,100.000,19,19,850,00000059.jpg,19.527,17.628,12/10/2022,13:00 h, 100.0000,100113,469
1,00000058,MOVIMIENTO REGIONAL OBRAS POR LA MODERNIDAD,,100.000,19,19,1024,00000058.jpg,23.524,21.236,12/10/2022,13:00 h, 100.0000,100113,469
6,00000004,ALIANZA PARA EL PROGRESO,,100.000,19,19,1078,00000004.jpg,24.765,22.356,12/10/2022,13:00 h, 100.0000,100113,469
