,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo
0,00000036,MOVIMIENTO REGIONAL AGUA,,100.000,6,6,347,00000036.jpg,56.331,30.148,10/10/2022,16:51 h, 100.0000,050506
1,00000037,MOVIMIENTO REGIONAL WARI LLAQTA,,100.000,6,6,82,00000037.jpg,13.312,7.124,10/10/2022,16:51 h, 100.0000,050506
2,00000035,ALIANZA POR NUESTRO DESARROLLO,,100.000,6,6,103,00000035.jpg,16.721,8.949,10/10/2022,16:51 h, 100.0000,050506
3,00000005,JUNTOS POR EL PERU,,100.000,6,6,5,00000005.jpg,0.812,0.434,10/10/2022,16:51 h, 100.0000,050506
4,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,6,6,46,00000008.jpg,7.468,3.997,10/10/2022,16:51 h, 100.0000,050506
5,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,6,6,33,00000002.jpg,5.357,2.867,10/10/2022,16:51 h, 100.0000,050506
