,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo
0,00000059,UNO POR ICA,,100.000,62,62,"2,194",00000059.jpg,16.511,14.008,06/10/2022,17:50 h,  95.3846,100109
1,00000058,MOVIMIENTO REGIONAL OBRAS POR LA MODERNIDAD,,100.000,62,62,"1,747",00000058.jpg,13.147,11.154,06/10/2022,17:50 h,  95.3846,100109
2,00000006,FUERZA POPULAR,,100.000,62,62,535,00000006.jpg,4.026,3.416,06/10/2022,17:50 h,  95.3846,100109
3,00000001,ACCION POPULAR,,100.000,62,62,119,00000001.jpg,0.896,0.760,06/10/2022,17:50 h,  95.3846,100109
4,00000009,PODEMOS PERU,,100.000,62,62,402,00000009.jpg,3.025,2.567,06/10/2022,17:50 h,  95.3846,100109
5,00000003,RENOVACION POPULAR,,100.000,62,62,"3,063",00000003.jpg,23.051,19.556,06/10/2022,17:50 h,  95.3846,100109
6,00000004,ALIANZA PARA EL PROGRESO,,100.000,62,62,"4,781",00000004.jpg,35.980,30.524,06/10/2022,17:50 h,  95.3846,100109
7,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,62,62,447,00000002.jpg,3.364,2.854,06/10/2022,17:50 h,  95.3846,100109
