,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo
0,00000072,PATRIA JOVEN,,100.000,3,3,79,00000072.jpg,17.995,13.101,06/10/2022,17:50 h, 100.0000,140714
1,00000074,MOVIMIENTO REGIONAL UNIDAD CIVICA LIMA,,100.000,3,3,183,00000074.jpg,41.686,30.348,06/10/2022,17:50 h, 100.0000,140714
2,00000073,CONCERTACION PARA EL DESARROLLO REGIONAL - LIMA,,100.000,3,3,13,00000073.jpg,2.961,2.156,06/10/2022,17:50 h, 100.0000,140714
3,00000001,ACCION POPULAR,,100.000,3,3,42,00000001.jpg,9.567,6.965,06/10/2022,17:50 h, 100.0000,140714
4,00000009,PODEMOS PERU,,100.000,3,3,4,00000009.jpg,0.911,0.663,06/10/2022,17:50 h, 100.0000,140714
5,00000003,RENOVACION POPULAR,,100.000,3,3,2,00000003.jpg,0.456,0.332,06/10/2022,17:50 h, 100.0000,140714
6,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,3,3,29,00000008.jpg,6.606,4.809,06/10/2022,17:50 h, 100.0000,140714
7,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,3,3,87,00000002.jpg,19.818,14.428,06/10/2022,17:50 h, 100.0000,140714
