,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo,nulos_y_blancos
1,00000029,FUERZA AREQUIPEÑA,,100.000,7,7,50,00000029.jpg,4.826,4.042,12/10/2022,16:00 h, 100.0000,040804,201
2,00000032,JUNTOS POR EL DESARROLLO DE AREQUIPA,,100.000,7,7,56,00000032.jpg,5.405,4.527,12/10/2022,16:00 h, 100.0000,040804,201
3,00000027,MOVIMIENTO REGIONAL AREQUIPA AVANCEMOS,,100.000,7,7,244,00000027.jpg,23.552,19.725,12/10/2022,16:00 h, 100.0000,040804,201
4,00000031,"AREQUIPA, TRADICION Y FUTURO",,100.000,7,7,319,00000031.jpg,30.792,25.788,12/10/2022,16:00 h, 100.0000,040804,201
0,00000028,YO AREQUIPA,,100.000,7,7,367,00000028.jpg,35.425,29.669,12/10/2022,16:00 h, 100.0000,040804,201
