,idSolicitudLista,txOrganizacionPolitica,numLista,numCandidatos,txDescUbigeo,idOrganizacionPolitica,txDepartamento,txProvincia,txDistrito,idTipoEleccion,numTotalCandidatoHombre,numTotalCandidatoMujer,fgTieneAccesitario,numTotalAccesitarios,numTotalObligatorios,txTipoEleccion
942,11149,ALIANZA PARA EL PROGRESO,1,17,OXAPAMPA - PASCO,1257,PASCO,OXAPAMPA,,5,9,8,SI,7,10,MUNICIPAL PROVINCIAL
943,13777,MOVIMIENTO INDEPENDIENTE TRABAJANDO PARA TODOS,2,15,TAYACAJA - HUANCAVELICA,226,HUANCAVELICA,TAYACAJA,,5,8,7,SI,5,10,MUNICIPAL PROVINCIAL
944,11115,ALIANZA PARA EL PROGRESO,1,14,LAMAS - SAN MARTIN,1257,SAN MARTIN,LAMAS,,5,8,6,SI,4,10,MUNICIPAL PROVINCIAL
945,7571,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,1,16,LAMBAYEQUE - LAMBAYEQUE,2173,LAMBAYEQUE,LAMBAYEQUE,,5,9,7,SI,2,14,MUNICIPAL PROVINCIAL
946,11107,ALIANZA PARA EL PROGRESO,1,11,RODRIGUEZ DE MENDOZA - AMAZONAS,1257,AMAZONAS,RODRIGUEZ DE MENDOZA,,5,6,5,SI,3,8,MUNICIPAL PROVINCIAL
947,11093,ALIANZA PARA EL PROGRESO,1,15,CHACHAPOYAS - AMAZONAS,1257,AMAZONAS,CHACHAPOYAS,,5,8,7,SI,5,10,MUNICIPAL PROVINCIAL
948,13749,MOVIMIENTO REGIONAL CONSTRUYENDO,1,22,CHICLAYO - LAMBAYEQUE,1442,LAMBAYEQUE,CHICLAYO,,5,12,10,SI,6,16,MUNICIPAL PROVINCIAL
949,2980,PARTIDO FRENTE DE LA ESPERANZA 2021,1,12,COTABAMBAS - APURIMAC,2857,APURIMAC,COTABAMBAS,,5,7,5,SI,2,10,MUNICIPAL PROVINCIAL
950,11203,MOVIMIENTO REGIONAL CONSTRUYENDO,1,16,FERREÑAFE - LAMBAYEQUE,1442,LAMBAYEQUE,FERREÑAFE,,5,9,7,SI,4,12,MUNICIPAL PROVINCIAL
951,13567,MOVIMIENTO REGIONAL BICENTENARIO,1,17,TRUJILLO - LA LIBERTAD,2906,LA LIBERTAD,TRUJILLO,,5,9,8,SI,1,16,MUNICIPAL PROVINCIAL
952,13818,SUMATE,1,10,GRAN CHIMU - LA LIBERTAD,67,LA LIBERTAD,GRAN CHIMU,,5,4,6,SI,2,8,MUNICIPAL PROVINCIAL
953,13808,ALIANZA POR NUESTRO DESARROLLO,1,8,PAUCAR DEL SARA SARA - AYACUCHO,2710,AYACUCHO,PAUCAR DEL SARA SARA,,5,5,3,SI,2,6,MUNICIPAL PROVINCIAL
954,8459,FE EN EL PERU,1,10,CHUPACA - JUNIN,2898,JUNIN,CHUPACA,,5,6,4,NO,0,10,MUNICIPAL PROVINCIAL
955,13250,JUNIN SOSTENIBLE CON SU GENTE,1,20,CONCEPCION - JUNIN,303,JUNIN,CONCEPCION,,5,10,10,SI,10,10,MUNICIPAL PROVINCIAL
956,9845,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,1,48,LIMA - LIMA,2173,LIMA,LIMA,,5,25,23,SI,8,40,MUNICIPAL PROVINCIAL
957,13823,PARTIDO DEMOCRATICO SOMOS PERU,1,14,CANCHIS - CUSCO,14,CUSCO,CANCHIS,,5,8,6,SI,2,12,MUNICIPAL PROVINCIAL
958,13831,PARTIDO DEMOCRATICO SOMOS PERU,1,10,HUAMALIES - HUANUCO,14,HUANUCO,HUAMALIES,,5,6,4,NO,0,10,MUNICIPAL PROVINCIAL
959,13888,ALIANZA PARA EL PROGRESO,1,17,HUANTA - AYACUCHO,1257,AYACUCHO,HUANTA,,5,9,8,SI,7,10,MUNICIPAL PROVINCIAL
960,13855,ALIANZA PARA EL PROGRESO,1,11,CANGALLO - AYACUCHO,1257,AYACUCHO,CANGALLO,,5,6,5,SI,3,8,MUNICIPAL PROVINCIAL
961,13853,MOVIMIENTO ACCION NACIONALISTA PERUANO,1,16,CASMA - ANCASH,360,ANCASH,CASMA,,5,9,7,SI,6,10,MUNICIPAL PROVINCIAL
962,13897,ALIANZA PARA EL PROGRESO,1,13,LUCANAS - AYACUCHO,1257,AYACUCHO,LUCANAS,,5,7,6,SI,3,10,MUNICIPAL PROVINCIAL
963,11417,ALIANZA PARA EL PROGRESO,1,16,CASMA - ANCASH,1257,ANCASH,CASMA,,5,8,8,SI,6,10,MUNICIPAL PROVINCIAL
964,13691,ALIANZA PARA EL PROGRESO,1,16,HUAMANGA - AYACUCHO,1257,AYACUCHO,HUAMANGA,,5,8,8,SI,4,12,MUNICIPAL PROVINCIAL
965,13732,YO AREQUIPA,1,19,CAYLLOMA - AREQUIPA,2744,AREQUIPA,CAYLLOMA,,5,10,9,SI,9,10,MUNICIPAL PROVINCIAL
966,13896,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,1,9,CASTILLA - AREQUIPA,2173,AREQUIPA,CASTILLA,,5,5,4,SI,1,8,MUNICIPAL PROVINCIAL
967,10375,PARTIDO MORADO,1,12,HUANCAVELICA - HUANCAVELICA,2840,HUANCAVELICA,HUANCAVELICA,,5,7,5,NO,0,12,MUNICIPAL PROVINCIAL
968,11393,ALIANZA PARA EL PROGRESO,1,14,OTUZCO - LA LIBERTAD,1257,LA LIBERTAD,OTUZCO,,5,8,6,SI,4,10,MUNICIPAL PROVINCIAL
969,11395,ALIANZA PARA EL PROGRESO,1,14,PACASMAYO - LA LIBERTAD,1257,LA LIBERTAD,PACASMAYO,,5,8,6,SI,2,12,MUNICIPAL PROVINCIAL
970,11408,ALIANZA PARA EL PROGRESO,1,18,TRUJILLO - LA LIBERTAD,1257,LA LIBERTAD,TRUJILLO,,5,10,8,SI,2,16,MUNICIPAL PROVINCIAL
971,13919,ALIANZA PARA EL PROGRESO,1,8,PAUCAR DEL SARA SARA - AYACUCHO,1257,AYACUCHO,PAUCAR DEL SARA SARA,,5,5,3,SI,2,6,MUNICIPAL PROVINCIAL
972,11658,ALIANZA PARA EL PROGRESO,2,29,TRUJILLO - LA LIBERTAD,1257,LA LIBERTAD,TRUJILLO,,5,15,14,SI,13,16,MUNICIPAL PROVINCIAL
973,12970,ALIANZA PARA EL PROGRESO,1,13,CHINCHEROS - APURIMAC,1257,APURIMAC,CHINCHEROS,,5,7,6,SI,5,8,MUNICIPAL PROVINCIAL
974,12975,ALIANZA PARA EL PROGRESO,1,14,COTABAMBAS - APURIMAC,1257,APURIMAC,COTABAMBAS,,5,8,6,SI,4,10,MUNICIPAL PROVINCIAL
975,12983,ALIANZA PARA EL PROGRESO,1,23,ANDAHUAYLAS - APURIMAC,1257,APURIMAC,ANDAHUAYLAS,,5,12,11,SI,11,12,MUNICIPAL PROVINCIAL
976,13485,PARTIDO POLITICO NACIONAL PERU LIBRE,1,12,CHANCHAMAYO - JUNIN,2218,JUNIN,CHANCHAMAYO,,5,6,6,NO,0,12,MUNICIPAL PROVINCIAL
977,11404,ACCION POPULAR,1,14,SANTA - ANCASH,4,ANCASH,SANTA,,5,7,7,NO,0,14,MUNICIPAL PROVINCIAL
978,13929,DEMOCRATA VERDE,1,12,CHOTA - CAJAMARCA,2895,CAJAMARCA,CHOTA,,5,7,5,NO,0,12,MUNICIPAL PROVINCIAL
