,idPlanGobierno,idOrganizacionPolitica,txOrganizacionPolitica,idTipoEleccion,txTipoEleccion,idJuradoElectoral,txJuradoElectoral,txRutaCompleto,txRutaResumen,txTipoPlan,txCodExpedienteExt,idEstadoLista,txEstadoLista,nuCantidadCandidatos,txUbigeo,txDistritoElectoral,txRegion,txProvincia,txDistrito
52,26218,1600,BANDERAS TACNEÑISTAS,4,REGIONAL,1729,TACNA,https://mpesije.jne.gob.pe/docs/60fef9bf-907e-4bb0-aa99-81776919e766.pdf,https://mpesije.jne.gob.pe/docs/068c40c2-ee1a-4597-ac04-86738bf593e9.pdf,,ERM.2022014377,158,INSCRITO,22,220000,,TACNA,,
53,16571,1464,CAJAMARCA SIEMPRE VERDE,4,REGIONAL,1656,CAJAMARCA,https://mpesije.jne.gob.pe/docs/d6c53f48-eb99-4f3b-9d18-f28821f8d046.pdf,https://mpesije.jne.gob.pe/docs/8fcf1b59-f6ae-4a72-b1f8-c315883ce8e2.pdf,,ERM.2022008479,158,INSCRITO,40,60000,,CAJAMARCA,,
54,28610,122,CAMINEMOS JUNTOS POR JUNIN,4,REGIONAL,1679,HUANCAYO,https://mpesije.jne.gob.pe/docs/8cc85075-4457-436b-9128-a93325981680.pdf,https://mpesije.jne.gob.pe/docs/54c98edc-4e7a-4b78-b997-918982a6c8b4.pdf,,ERM.2022017889,158,INSCRITO,28,110000,,JUNIN,,
55,21891,332,CONCERTACION PARA EL DESARROLLO REGIONAL - LIMA,4,REGIONAL,1685,HUAURA,https://mpesije.jne.gob.pe/docs/ca6faca5-04ba-442f-887d-83f46141efe2.pdf,https://mpesije.jne.gob.pe/docs/2a804c8d-0c8a-439a-ac30-0e3401fde4f4.pdf,,ERM.2022015598,158,INSCRITO,28,140000,,LIMA,,
56,20498,2652,CONTIGO CALLAO,4,REGIONAL,1657,CALLAO,https://mpesije.jne.gob.pe/docs/a5f10d24-fb91-498a-a76f-f095f0587cba.pdf,https://mpesije.jne.gob.pe/docs/fa312d72-8ea2-4442-b3c4-059cca2741a4.pdf,,ERM.2022005895,158,INSCRITO,20,240000,,CALLAO,,
57,27351,2862,CONTIGO REGION,4,REGIONAL,1715,PIURA,https://mpesije.jne.gob.pe/docs/279bdcd8-1bf5-43c7-84fc-2f99b5a84763.pdf,https://mpesije.jne.gob.pe/docs/5845ef3b-8b90-4730-9368-d92d3d7944e6.pdf,,ERM.2022007764,158,INSCRITO,24,190000,,PIURA,,
58,27282,2729,CORAZON PATRIOTA,4,REGIONAL,1679,HUANCAYO,https://mpesije.jne.gob.pe/docs/4c170c1a-b3e0-4e0b-b412-d34650e38a83.pdf,https://mpesije.jne.gob.pe/docs/1c3bb28c-1b0a-41ac-bd25-1af3f2ab7735.pdf,,ERM.2022017449,158,INSCRITO,28,110000,,JUNIN,,
59,21650,2898,FE EN EL PERU,4,REGIONAL,1670,CORONEL PORTILLO,https://mpesije.jne.gob.pe/docs/4b73ee98-9d36-4a6f-a900-a8f42ba425a9.pdf,https://mpesije.jne.gob.pe/docs/5baeb923-9276-4a3a-ac10-357dc0d0eff2.pdf,,ERM.2022011763,152,IMPROCEDENTE,24,250000,,UCAYALI,,
60,26880,2898,FE EN EL PERU,4,REGIONAL,1679,HUANCAYO,https://mpesije.jne.gob.pe/docs/943750f9-d326-4c4d-87b7-9fa7a0ce1f3e.pdf,https://mpesije.jne.gob.pe/docs/64992b5b-1bf7-42c8-a4c9-ad2c308f8341.pdf,,ERM.2022009211,152,IMPROCEDENTE,28,110000,,JUNIN,,
61,26342,2898,FE EN EL PERU,4,REGIONAL,1657,CALLAO,https://mpesije.jne.gob.pe/docs/3f9552ba-0b18-4682-afa3-35b127a2ac33.pdf,https://mpesije.jne.gob.pe/docs/21331a1b-36a0-43ea-b772-b8034d6847f7.pdf,,ERM.2022010719,152,IMPROCEDENTE,20,240000,,CALLAO,,
62,22414,2898,FE EN EL PERU,4,REGIONAL,1734,TUMBES,https://mpesije.jne.gob.pe/docs/423ff416-61e7-4508-9469-bbc56215ac38.pdf,https://mpesije.jne.gob.pe/docs/ba5793a0-4aa3-45d9-a476-879b3231834c.pdf,,ERM.2022007931,152,IMPROCEDENTE,16,230000,,TUMBES,,
63,28274,2898,FE EN EL PERU,4,REGIONAL,1715,PIURA,https://mpesije.jne.gob.pe/docs/72f281aa-5c8a-4720-945e-a6c9e2293602.pdf,https://mpesije.jne.gob.pe/docs/28bad95f-e379-4ada-abdc-2643e292f610.pdf,,ERM.2022016111,152,IMPROCEDENTE,24,190000,,PIURA,,
64,28000,1670,FRENTE AMPLIO PARA EL DESARROLLO DEL PUEBLO,4,REGIONAL,1718,PUNO,https://mpesije.jne.gob.pe/docs/9072aebf-7847-40f4-b50b-82cc08fc9198.pdf,https://mpesije.jne.gob.pe/docs/ae0d9dae-fa32-4287-8b56-dc7678799134.pdf,,ERM.2022008680,158,INSCRITO,40,200000,,PUNO,,
65,23889,2708,FRENTE ESPERANZA POR TACNA,4,REGIONAL,1729,TACNA,https://mpesije.jne.gob.pe/docs/37b8fcc6-66b2-4045-a167-c5d851802c0c.pdf,https://mpesije.jne.gob.pe/docs/f8efb8d7-c342-415b-ab34-9ce14e307803.pdf,,ERM.2022009383,158,INSCRITO,22,220000,,TACNA,,
66,25386,2901,FRENTE POPULAR AGRICOLA FIA DEL PERU,4,REGIONAL,1664,CHACHAPOYAS,https://mpesije.jne.gob.pe/docs/eab225d5-ad43-4e99-b3e7-765029aae56e.pdf,https://mpesije.jne.gob.pe/docs/37c6a200-1dd7-45dc-bb90-c330cf09f542.pdf,,ERM.2022017411,152,IMPROCEDENTE,22,10000,,AMAZONAS,,
67,20905,2901,FRENTE POPULAR AGRICOLA FIA DEL PERU,4,REGIONAL,1657,CALLAO,https://mpesije.jne.gob.pe/docs/d3e739fe-86a0-4b51-9a5f-c86109a6c3b2.pdf,https://mpesije.jne.gob.pe/docs/82ad4767-1bbb-487f-a0a4-62544c6d9738.pdf,,ERM.2022017028,152,IMPROCEDENTE,20,240000,,CALLAO,,
68,28742,2901,FRENTE POPULAR AGRICOLA FIA DEL PERU,4,REGIONAL,1678,HUANCAVELICA,https://mpesije.jne.gob.pe/docs/1f6f96d5-c18f-49c7-8297-cea2c7eeed44.pdf,https://mpesije.jne.gob.pe/docs/56a768a5-c7c0-4311-bafb-9fdfbd3ba506.pdf,,ERM.2022017514,152,IMPROCEDENTE,24,80000,,HUANCAVELICA,,
69,24301,2901,FRENTE POPULAR AGRICOLA FIA DEL PERU,4,REGIONAL,1676,HUAMANGA,https://mpesije.jne.gob.pe/docs/4537c279-2e22-4950-b5f0-b9cab45aadf8.pdf,https://mpesije.jne.gob.pe/docs/358c6b7a-ea24-413e-8bfb-19508938ef22.pdf,,ERM.2022016823,152,IMPROCEDENTE,36,50000,,AYACUCHO,,
70,24818,2901,FRENTE POPULAR AGRICOLA FIA DEL PERU,4,REGIONAL,1670,CORONEL PORTILLO,https://mpesije.jne.gob.pe/docs/6465227a-72b7-4409-ab84-097697e07236.pdf,https://mpesije.jne.gob.pe/docs/75c8a1ea-047e-423c-bb0f-67dd29459643.pdf,,ERM.2022016441,152,IMPROCEDENTE,24,250000,,UCAYALI,,
71,16649,160,FRENTE REGIONAL DE CAJAMARCA,4,REGIONAL,1656,CAJAMARCA,https://mpesije.jne.gob.pe/docs/38f39740-ace2-475e-ae94-2d5ed933b6f7.pdf,https://mpesije.jne.gob.pe/docs/fd761c68-02a8-450a-88f0-60dfa39035a7.pdf,,ERM.2022017090,158,INSCRITO,40,60000,,CAJAMARCA,,
72,28320,2911,FRENTE REGIONAL TUPAC,4,REGIONAL,1671,CUSCO,https://mpesije.jne.gob.pe/docs/e757ef10-6a72-4740-bcac-14659ae2ce68.pdf,https://mpesije.jne.gob.pe/docs/9dba2517-d70a-4076-8be3-75cd83a8594b.pdf,,ERM.2022018113,152,IMPROCEDENTE,46,70000,,CUSCO,,
73,21233,1393,FUERZA AREQUIPEÑA,4,REGIONAL,1650,AREQUIPA,https://mpesije.jne.gob.pe/docs/81f7a939-d10b-4334-a4fd-d5bcc27d360d.pdf,https://mpesije.jne.gob.pe/docs/2bb1cc87-1bff-4b6a-929e-99d42ff363c2.pdf,,ERM.2022005789,158,INSCRITO,30,40000,,AREQUIPA,,
74,29159,2766,FUERZA CALLAO SEGURO,4,REGIONAL,1657,CALLAO,https://mpesije.jne.gob.pe/docs/3832970a-f349-4b3f-8aba-b83601c4bd57.pdf,https://mpesije.jne.gob.pe/docs/59f459bb-9167-430c-9e6f-b40b25fd539d.pdf,,ERM.2022015742,158,INSCRITO,20,240000,,CALLAO,,
75,21485,1366,FUERZA POPULAR,4,REGIONAL,1688,ICA,https://mpesije.jne.gob.pe/docs/967b5cfc-515b-4680-97c8-399d79a78778.pdf,https://mpesije.jne.gob.pe/docs/d7ee10ff-4a9b-490c-b6ad-387cf801bda0.pdf,,ERM.2022016676,158,INSCRITO,24,100000,,ICA,,
76,18852,1366,FUERZA POPULAR,4,REGIONAL,1707,MAYNAS,https://mpesije.jne.gob.pe/docs/c89be9f1-41e8-42b5-8f8e-9c1c4a1a775f.pdf,https://mpesije.jne.gob.pe/docs/f89b0366-d58e-4f7c-99db-730c82f02dd3.pdf,,ERM.2022013564,158,INSCRITO,34,150000,,LORETO,,
