,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,cod_departamento,fecha,hora,avance
0,00000064,CORAZON PATRIOTA,,100.000,"3,026","3,026","25,665",00000064.jpg,4.806,3.859,11,03/10/2022,15:17 h,  88.0675
1,00000061,MOVIMIENTO REGIONAL SIERRA Y SELVA CONTIGO JUNIN,,100.000,"3,026","3,026","181,189",00000061.jpg,33.930,27.241,11,03/10/2022,15:17 h,  88.0675
2,00000062,JUNIN RENACE,,100.000,"3,026","3,026","109,047",00000062.jpg,20.421,16.395,11,03/10/2022,15:17 h,  88.0675
3,00000065,MOVIMIENTO REGIONAL BLOQUE POPULAR JUNIN,,100.000,"3,026","3,026","13,775",00000065.jpg,2.580,2.071,11,03/10/2022,15:17 h,  88.0675
4,00000060,CAMINEMOS JUNTOS POR JUNIN,,100.000,"3,026","3,026","125,580",00000060.jpg,23.517,18.881,11,03/10/2022,15:17 h,  88.0675
5,00000003,RENOVACION POPULAR,,100.000,"3,026","3,026","23,095",00000003.jpg,4.325,3.472,11,03/10/2022,15:17 h,  88.0675
6,00000004,ALIANZA PARA EL PROGRESO,,100.000,"3,026","3,026","36,363",00000004.jpg,6.810,5.467,11,03/10/2022,15:17 h,  88.0675
7,00000010,PARTIDO MORADO,,100.000,"3,026","3,026","10,667",00000010.jpg,1.998,1.604,11,03/10/2022,15:17 h,  88.0675
8,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,"3,026","3,026","8,620",00000002.jpg,1.614,1.296,11,03/10/2022,15:17 h,  88.0675
