,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,cod_departamento,fecha,hora,avance,ubigeo,departamento,postulaDepartamento,txUbigeo,organizacionPolitica,nombreCompleto,postulaProvincia,feNacimiento,txSexo,age
19,2,PARTIDO DEMOCRATICO SOMOS PERU,,100.0,288,288,"2,478",00000002.jpg,4.527,3.862,03,07/10/2022,16:00 h,98.9691,30100,APURÍMAC,APURÍMAC,30100,PARTIDO DEMOCRATICO SOMOS PERU,ELIO MAURO VIDAL ROBLES,ABANCAY,1966-08-05,M,56
20,24,MOVIMIENTO REGIONAL HATARIY APURIMAC,,100.0,288,288,"6,784",00000024.jpg,12.395,10.572,03,07/10/2022,16:00 h,98.9691,30100,APURÍMAC,APURÍMAC,30100,MOVIMIENTO REGIONAL HATARIY APURIMAC,MOISES LUNA HURTADO,ABANCAY,1969-06-04,M,53
21,1,ACCION POPULAR,,100.0,288,288,"7,178",00000001.jpg,13.115,11.186,03,07/10/2022,16:00 h,98.9691,30100,APURÍMAC,APURÍMAC,30100,ACCION POPULAR,JOHN VASCONES SORIA,ABANCAY,1974-06-21,M,48
22,25,PROGRESISTA DE APURIMAC,,100.0,288,288,"7,575",00000025.jpg,13.84,11.804,03,07/10/2022,16:00 h,98.9691,30100,APURÍMAC,APURÍMAC,30100,PROGRESISTA DE APURIMAC,EDWIN DARCY AYMARA CONTRERAS,ABANCAY,1977-09-29,M,45
23,11,PARTIDO FRENTE DE LA ESPERANZA 2021,,100.0,288,288,"13,638",00000011.jpg,24.917,21.253,03,07/10/2022,16:00 h,98.9691,30100,APURÍMAC,APURÍMAC,30100,PARTIDO FRENTE DE LA ESPERANZA 2021,RICHARD ESPINOZA PALOMINO,ABANCAY,1966-06-12,M,56
24,4,ALIANZA PARA EL PROGRESO,,100.0,288,288,"16,673",00000004.jpg,30.462,25.982,03,07/10/2022,16:00 h,98.9691,30100,APURÍMAC,APURÍMAC,30100,ALIANZA PARA EL PROGRESO,NESTOR RAUL PEÑA SANCHEZ,ABANCAY,1977-03-20,M,45
25,9,PODEMOS PERU,,100.0,"3,009","3,009","2,457",00000009.jpg,0.398,0.336,04,07/10/2022,16:00 h,98.5588,40100,AREQUIPA,AREQUIPA,40100,PODEMOS PERU,ISIDRO FLORES SOSA,AREQUIPA,1959-04-04,M,63
26,10,PARTIDO MORADO,,100.0,"3,009","3,009","4,011",00000010.jpg,0.649,0.548,04,07/10/2022,16:00 h,98.5588,40100,AREQUIPA,AREQUIPA,40100,PARTIDO MORADO,GUSTAVO ENRIQUE ALVAREZ BEGAZO,AREQUIPA,1984-07-28,M,38
27,1,ACCION POPULAR,,100.0,"3,009","3,009","6,775",00000001.jpg,1.097,0.926,04,07/10/2022,16:00 h,98.5588,40100,AREQUIPA,AREQUIPA,40100,ACCION POPULAR,EDWIN JAVIER MARTINEZ CONCHA,AREQUIPA,1971-07-19,M,51
28,2,PARTIDO DEMOCRATICO SOMOS PERU,,100.0,"3,009","3,009","7,220",00000002.jpg,1.169,0.987,04,07/10/2022,16:00 h,98.5588,40100,AREQUIPA,AREQUIPA,40100,PARTIDO DEMOCRATICO SOMOS PERU,GUIDO MOISES DEL CARPIO RODRIGUEZ,AREQUIPA,1975-06-28,M,47
29,6,FUERZA POPULAR,,100.0,"3,009","3,009","8,337",00000006.jpg,1.349,1.139,04,07/10/2022,16:00 h,98.5588,40100,AREQUIPA,AREQUIPA,40100,FUERZA POPULAR,MAURICIO FERNANDO ARNILLAS GONZALEZ,AREQUIPA,1967-05-30,M,55
