,idSolicitudLista,txOrganizacionPolitica,numLista,numCandidatos,txDescUbigeo,idOrganizacionPolitica,txDepartamento,txProvincia,txDistrito,idTipoEleccion,numTotalCandidatoHombre,numTotalCandidatoMujer,fgTieneAccesitario,numTotalAccesitarios,numTotalObligatorios,txTipoEleccion
43,312,PODEMOS PERU,1,24,PASCO,2731,PASCO,,,4,11,13,NO,0,24,REGIONAL
44,11767,FRENTE POPULAR AGRICOLA FIA DEL PERU,1,40,PUNO,2901,PUNO,,,4,20,20,NO,0,40,REGIONAL
45,11248,JUNTOS POR EL PERU,1,36,LA LIBERTAD,1264,LA LIBERTAD,,,4,19,17,NO,0,36,REGIONAL
46,475,PODEMOS PERU,1,24,MOQUEGUA,2731,MOQUEGUA,,,4,12,12,SI,2,22,REGIONAL
47,5512,PODEMOS PERU,1,27,MADRE DE DIOS,2731,MADRE DE DIOS,,,4,14,13,SI,5,22,REGIONAL
48,11810,MOVIMIENTO DE INCLUSION REGIONAL,1,21,TUMBES,2647,TUMBES,,,4,11,10,SI,5,16,REGIONAL
49,719,NUESTRO ILO - MOQUEGUA - SANCHEZ CERRO,1,22,MOQUEGUA,2497,MOQUEGUA,,,4,11,11,NO,0,22,REGIONAL
50,10949,RENOVACION POPULAR,1,17,TUMBES,22,TUMBES,,,4,8,9,SI,1,16,REGIONAL
51,12046,PARTIDO POLITICO NACIONAL PERU LIBRE,1,30,AREQUIPA,2218,AREQUIPA,,,4,15,15,NO,0,30,REGIONAL
52,12065,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,1,26,UCAYALI,2173,UCAYALI,,,4,14,12,SI,2,24,REGIONAL
53,834,SI SE PUEDE CALLAO,1,28,CALLAO,2902,CALLAO,,,4,15,13,SI,8,20,REGIONAL
54,9899,RENOVACION POPULAR,1,28,LIMA,22,LIMA,,,4,15,13,NO,0,28,REGIONAL
55,1102,RENOVACION POPULAR,1,28,LAMBAYEQUE,22,LAMBAYEQUE,,,4,14,14,SI,6,22,REGIONAL
56,11994,RENOVACION POPULAR,1,58,CAJAMARCA,22,CAJAMARCA,,,4,30,28,SI,18,40,REGIONAL
